variety,count,z_grain_a,z_grain_max,z_grain_min,z_straw_a,z_straw_max,z_straw_min
ALTAIR,6,0.008572050632892122,1.0983528608839905,-0.8776994474634084,0.22226637846253192,0.8904958545849609,-0.6756391567575084
ANKA,7,0.37180482598539155,0.9612484001207491,-0.2797984057814,1.0094931534349803,1.2801683174893574,0.37352240915500345
BIALOBRZESKIE,6,0.024944011490685578,1.367348197067897,-1.1034904782766028,0.9900572239966609,1.4807974502936874,0.5130449583931956
CFX-1,7,0.29419672233003785,1.2329697623918816,-0.7580977062377856,-0.8964009387034374,0.005798829307143639,-1.288182309978615
CFX-2,7,0.04545427557643626,1.157183070301596,-1.5961294481353174,-0.9841683926545369,-0.27213181779929596,-1.4214769746885794
GRANDI,7,-0.05101472201478906,1.2210152525849085,-0.9295376780766563,-1.474931734774078,-1.0289651482738542,-1.8905106709522497
H-51,7,-0.9795913935979436,0.14239631123804725,-1.456794971099606,0.5798508353741738,1.1917771509231063,0.2944767490288278
HENOLA,7,0.7329286546050574,1.8198049725753818,-0.25178037061436137,0.010750295853834116,0.8421372075380303,-0.5357301906375158
HLESIA,7,-0.8946489556593095,-0.5574040559803836,-1.2228670887850972,0.03312698528982458,0.47590324844246146,-0.6699394548533693
HLIANA,6,-1.0090364949668669,-0.3258851230383998,-1.6949058194628766,-0.6335819146280808,0.38066219432344495,-1.4844314286233928
LARA,7,-0.9126371152349861,-0.6311752201237745,-1.1997857379095638,1.2246495970851363,1.8537991824938613,-0.170141370198174
NWG 2463,2,-0.31670362833194343,-0.21795766387603588,-0.415449592787851,0.07386254883306392,0.7042606466313736,-0.5565355489652457
NWG 2730,2,1.0460363152410155,2.101737172535161,-0.009664542053129716,1.3003036873103504,2.2922612619696574,0.3083461126510436
NWG 4000,2,1.0663246060976874,1.1595266843376248,0.9731225278577499,0.5509119884074464,0.7070630819792879,0.3947608948356048
NWG 4113,2,0.9367404888399324,1.4240757284678573,0.44940524921200753,0.9864810653150831,1.170348886711932,0.802613243918234
VEGA,7,0.25954319392557507,0.828907326822893,-0.614868539174467,0.05395886457488116,0.852288185578591,-0.7428805195622085
X-59,6,1.3876797719930103,3.083935150446679,-0.4379333384807784,-1.0316448941806673,-0.7643974944769063,-1.56504669190681
